"hcluster_id","commodity","year","value","unit"
"00000000000000000030","Diamonds","2003",0.0189998,"tonnes"
"00000000000000000030","Diamonds","2004",0.0189976,"tonnes"
"00000000000000000030","Diamonds","2005",0.0192,"tonnes"
"00000000000000000030","Diamonds","2006",0.0186,"tonnes"
"00000000000000000030","Diamonds","2007",0.01526,"tonnes"
"00000000000000000030","Diamonds","2008",0.0177,"tonnes"
"00000000000000000030","Diamonds","2009",0.0096676,"tonnes"
"00000000000000000030","Diamonds","2011",0.0422,"tonnes"
"00000000000000000030","Diamonds","2013",0.06,"tonnes"
"00000000000000000032","Diamonds","2000",0.0212,"tonnes"
"00000000000000000032","Diamonds","2001",0.0836,"tonnes"
"00000000000000000032","Diamonds","2002",0.1,"tonnes"
"00000000000000000034","Diamonds","2006",0.09,"tonnes"
"00000000000000000036","Diamonds","2006",0.0166,"tonnes"
"00000000000000000036","Diamonds","2007",0.01466,"tonnes"
"00000000000000000036","Diamonds","2008",0.012944,"tonnes"
"00000000000000000036","Diamonds","2009",0.0060846,"tonnes"
"00000000000000000036","Diamonds","2010",0.004102,"tonnes"
"00000000000000000036","Diamonds","2011",0.0055324,"tonnes"
"00000000000000000039","Diamonds","2000",0.392,"tonnes"
"00000000000000000039","Diamonds","2001",0.54,"tonnes"
"00000000000000000039","Diamonds","2002",0.5968,"tonnes"
"00000000000000000039","Diamonds","2003",0.65,"tonnes"
"00000000000000000039","Diamonds","2004",0.72,"tonnes"
"00000000000000000039","Diamonds","2005",1,"tonnes"
"00000000000000000039","Diamonds","2006",1.25,"tonnes"
"00000000000000000039","Diamonds","2007",1.223319,"tonnes"
"00000000000000000039","Diamonds","2008",1.2972126,"tonnes"
"00000000000000000039","Diamonds","2009",1.4112472,"tonnes"
"00000000000000000039","Diamonds","2010",1.3483642,"tonnes"
"00000000000000000039","Diamonds","2011",1.3560438,"tonnes"
"00000000000000000039","Diamonds","2012",1.3412712,"tonnes"
"00000000000000000039","Diamonds","2013",1.3112812,"tonnes"
"00000000000000000039","Diamonds","2014",1.2912044,"tonnes"
"00000000000000000039","Diamonds","2015",1.3459166,"tonnes"
"00000000000000000039","Diamonds","2016",1.4431558,"tonnes"
"00000000000000000057","Diamonds","2015",0.0016788,"tonnes"
"00000000000000000057","Diamonds","2016",0.0039666,"tonnes"
"00000000000000000057","Diamonds","2017",0.0037412,"tonnes"
"00000000000000000057","Diamonds","2018",0.0038392,"tonnes"
"00000000000000000057","Diamonds","2019",0.003802,"tonnes"
"00000000000000000059","Diamonds","2012",0.025,"tonnes"
"00000000000000000070","Diamonds","2003",0.0199998,"tonnes"
"00000000000000000070","Diamonds","2009",0.00139,"tonnes"
"00000000000000000070","Diamonds","2010",0.004102,"tonnes"
"00000000000000000070","Diamonds","2011",0.0055324,"tonnes"
"00000000000000000070","Diamonds","2012",0.0091738,"tonnes"
"00000000000000000070","Diamonds","2013",0.0082626,"tonnes"
"00000000000000000070","Diamonds","2014",0.0144082,"tonnes"
"00000000000000000070","Diamonds","2015",0.0188966,"tonnes"
"00000000000000000070","Diamonds","2016",0.0199144,"tonnes"
"00000000000000000070","Diamonds","2017",0.0274438,"tonnes"
"00000000000000000070","Diamonds","2018",0.0272804,"tonnes"
"00000000000000000070","Diamonds","2019",0.0267318,"tonnes"
"00000000000000000078","Chromite","2000",55000,"tonnes"
"00000000000000000078","Chromite","2002",40000,"tonnes"
"00000000000000000078","Chromite","2003",40000,"tonnes"
"00000000000000000078","Chromite","2004",50000,"tonnes"
"00000000000000000078","Chromite","2005",50000,"tonnes"
"00000000000000000091","Chromite","2000",30000,"tonnes"
"00000000000000000091","Chromite","2001",10000,"tonnes"
"00000000000000000091","Chromite","2004",7089,"tonnes"
"00000000000000000097","Lead","2000",20000,"tonnes"
"00000000000000000097","Lead","2003",16000,"tonnes"
"00000000000000000097","Lead","2005",14300,"tonnes"
"00000000000000000097","Lead","2006",12766,"tonnes"
"00000000000000000097","Lead","2007",13000,"tonnes"
"00000000000000000097","Lead","2008",13000,"tonnes"
"00000000000000000097","Lead","2009",13000,"tonnes"
"00000000000000000097","Lead","2010",14000,"tonnes"
"00000000000000000097","Lead","2011",19035,"tonnes"
"00000000000000000097","Lead","2012",25380,"tonnes"
"00000000000000000097","Lead","2013",33048,"tonnes"
"00000000000000000097","Lead","2014",28566,"tonnes"
"00000000000000000097","Lead","2015",23760,"tonnes"
"00000000000000000097","Lead","2016",25740,"tonnes"
"00000000000000000097","Lead","2017",27144,"tonnes"
"00000000000000000097","Lead","2018",25650,"tonnes"
"00000000000000000097","Lead","2019",21870,"tonnes"
"00000000000000000097","Silver","2006",19.8771489,"tonnes"
"00000000000000000097","Silver","2007",26.9887464,"tonnes"
"00000000000000000097","Silver","2008",29.2378086,"tonnes"
"00000000000000000097","Silver","2009",31.4868708,"tonnes"
"00000000000000000097","Silver","2010",53.97746445,"tonnes"
"00000000000000000097","Silver","2011",74.21902425,"tonnes"
