"snl_id","primary_commodity"
"64665","Coal"
"79522","Gold"
"68289","Coal"
"63154","Coal"
"32960","Diamonds"
"66178","Coal"
"65525","Gold"
"29968","Gold"
"63665","Gold"
"65760","Gold"
"67655","Coal"
"29336","Nickel"
"35020","Diamonds"
"52308","Gold"
"69163","Coal"
"68077","Gold"
"68074","Gold"
"68075","Gold"
"68076","Gold"
"66349","Gold"
"69188","Coal"
"69965","Coal"
"32823","Diamonds"
"54791","Platinum"
"54049","Gold"
"63065","Gold"
"63063","U3O8"
"81570","Copper"
"74796","Copper"
"38098","Gold"
"58124","Coal"
"65746","Graphite"
"32550","Diamonds"
"39777","U3O8"
"32825","Diamonds"
"64306","U3O8"
"30350","Gold"
"34620","Zinc"
"64963","Gold"
"50944","Coal"
"25295","Gold"
"60420","Gold"
"83201","Gold"
"34073","Copper"
"69010","Coal"
"69071","Coal"
"27791","Copper"
"28944","Gold"
"69140","Coal"
"76312","Graphite"
"31802","Gold"
"59744","Silver"
"31724","Diamonds"
"31725","Diamonds"
"49948","Copper"
"66217","Coal"
"58928","Gold"
"83729","Gold"
"57785","Gold"
"55680","Gold"
"63073","Gold"
"55681","Gold"
"55682","Gold"
"55683","Gold"
"55684","Gold"
"51320","Coal"
"35760","Iron Ore"
"56412","Copper"
"68421","Coal"
"68597","Coal"
"68422","Coal"
"68596","Coal"
"41336","Coal"
"27403","Gold"
"26388","Gold"
"49616","Coal"
"39986","Coal"
"31356","Diamonds"
"54612","Gold"
"30791","Gold"
"40079","Coal"
"31578","Diamonds"
"59071","Iron Ore"
"82144","Iron Ore"
"37802","Coal"
"27330","Lead"
"33002","Iron Ore"
"69371","Coal"
"61645","U3O8"
"69064","Coal"
"60226","U3O8"
"49660","Coal"
"69173","Coal"
"41645","Coal"
"79805","Zinc"
"65311","Gold"
"30412","Silver"
"54254","Lead"
"57812","Gold"
"36102","U3O8"
"80067","Gold"
"25717","Zinc"
"65652","Gold"
"54310","Gold"
"52997","Gold"
"35765","U3O8"
"40871","Vanadium"
"61127","Vanadium"
"65642","Gold"
"67170","Gold"
"84622","Alumina"
"68594","Coal"
"33953","U3O8"
"27075","Tin"
"26798","Gold"
"39606","Gold"
"38796","Coal"
"61605","Gold"
"27983","Copper"
"30438","Gold"
"53928","Copper"
"53965","Gold"
"31362","Copper"
"32899","Diamonds"
"57128","Gold"
"50003","Coal"
"51772","Coal"
"33944","Diamonds"
"74755","Iron Ore"
"57007","Gold"
"67737","Gold"
"38958","Coal"
"35330","U3O8"
"53210","Gold"
"67565","Copper"
"65576","Iron Ore"
"65000","Gold"
"31365","Lead"
"62531","Gold"
"75515","U3O8"
"69991","Coal"
"39705","Coal"
"32024","Gold"
"61220","Coal"
"61221","Antimony"
"32185","Tin"
"50122","Tantalum"
"60220","Ilmenite"
"29210","Gold"
"60223","Phosphate"
"54531","Gold"
"79950","Gold"
"67963","Coal"
"35262","Iron Ore"
"56843","Copper"
"63281","Lithium"
"29334","Copper"
"57136","Gold"
"53803","Gold"
"58042","U3O8"
"37422","U3O8"
"34670","Copper"
"29873","Gold"
"58991","Gold"
"62379","Tungsten"
"29184","Zinc"
"36421","Gold"
"63799","Gold"
"76593","Coal"
"61647","U3O8"
"53123","Gold"
"60569","Copper"
"38886","Iron Ore"
"55649","Copper"
"27893","Gold"
"65570","Zinc"
"30005","Tin"
"57129","Tungsten"
"58232","Tungsten"
"31679","Nickel"
"40226","Coal"
"38206","Coal"
"33226","Gold"
"59981","Copper"
"26779","Gold"
"34538","Gold"
"36157","Gold"
"31290","Gold"
"55264","Gold"
"36034","Copper"
"70803","Gold"
"77289","Diamonds"
"50682","Coal"
"24483","Gold"
"50057","Coal"
"59075","Iron Ore"
"31773","Gold"
"63232","Copper"
"26014","Silver"
"53468","Silver"
"64535","Gold"
"41583","Zinc"
"29698","Gold"
"61817","Gold"
"28981","Gold"
"54320","Silver"
"58529","Potash"
"41181","Coal"
"51664","Coal"
"41438","Coal"
"51667","Coal"
"50217","Gold"
"55700","Gold"
"25864","Gold"
"26069","Gold"
"68994","Coal"
"25093","Gold"
"31387","Diamonds"
"34006","Gold"
"67630","Gold"
"56042","Gold"
"40468","Copper"
"30840","Gold"
"78577","Lithium"
"60536","Bauxite"
"35877","Copper"
"40240","Coal"
"37537","Nickel"
"66195","Coal"
"82551","Gold"
"27586","Zinc"
"26363","Gold"
"35960","U3O8"
"58379","Copper"
"58249","Nickel"
"29032","Gold"
"55913","Copper"
"70518","Tungsten"
"30479","Lead"
"68973","Coal"
"55373","Molybdenum"
"37304","Iron Ore"
"40385","Coal"
"53068","Gold"
"27700","Gold"
"70329","Gold"
"41188","Coal"
"67611","Gold"
"49996","Gold"
"60369","Lanthanides"
"53090","Gold"
"39359","Diamonds"
"31879","Copper"
"41291","Gold"
"38036","Gold"
"64599","Potash"
"26797","Gold"
"53112","Gold"
"56694","Coal"
"34234","Diamonds"
"31385","Diamonds"
"53710","Diamonds"
"31352","Diamonds"
"56143","Gold"
"68420","Coal"
"80849","Vanadium"
"56829","U3O8"
"30702","Gold"
"36381","Iron Ore"
"31215","Copper"
"61649","U3O8"
"39031","Molybdenum"
"26731","Nickel"
"32880","Gold"
"55871","Gold"
"79348","Cobalt"
"40499","Iron Ore"
"40453","Iron Ore"
"30765","Gold"
"65643","Gold"
"81049","Copper"
"36815","U3O8"
"29114","Gold"
"31317","Gold"
"33063","Gold"
"28758","Gold"
"34508","Diamonds"
"41744","Lanthanides"
"59774","Coal"
"31145","Platinum"
"34832","U3O8"
"27406","Gold"
