"unid","hcluster_id","year","commodity","def_weight"
"25_2002",25,2002,"Other non-ferrous ores n.e.c.",0.000803070671530331
"25_2003",25,2003,"Other non-ferrous ores n.e.c.",0.0179888505079082
"25_2006",25,2006,"Other non-ferrous ores n.e.c.",0.00865222074644799
"25_2007",25,2007,"Other non-ferrous ores n.e.c.",0.00491970282509
"25_2008",25,2008,"Other non-ferrous ores n.e.c.",0.00225208504973767
"25_2009",25,2009,"Other non-ferrous ores n.e.c.",0.00253845194714116
"25_2010",25,2010,"Other non-ferrous ores n.e.c.",0.00659571794002757
"25_2011",25,2011,"Other non-ferrous ores n.e.c.",0.00393857539206112
"25_2013",25,2013,"Other non-ferrous ores n.e.c.",0.0347311182133693
"25_2014",25,2014,"Other non-ferrous ores n.e.c.",0.0189979329202091
"25_2016",25,2016,"Other non-ferrous ores n.e.c.",0.0037499981107824
"25_2017",25,2017,"Other non-ferrous ores n.e.c.",0.00166200576171875
"25_2018",25,2018,"Other non-ferrous ores n.e.c.",0.000199025830796186
"25_2019",25,2019,"Other non-ferrous ores n.e.c.",0.0287324520840514
"26_2013",26,2013,"Copper",0.0357779423935834
"26_2014",26,2014,"Copper",0.001747751953125
"27_2007",27,2007,"Copper",0.00168353306525735
"27_2008",27,2008,"Copper",0.000877901916503906
"27_2009",27,2009,"Copper",0.000946755806717218
"27_2011",27,2011,"Copper",0.000475098572495404
"27_2012",27,2012,"Copper",0.0137467677437577
"27_2013",27,2013,"Copper",0.00526735577392578
"27_2014",27,2014,"Copper",0.00702318707275391
"29_2001",29,2001,"Other non-ferrous ores n.e.c.",0.00995791545697381
"29_2002",29,2002,"Other non-ferrous ores n.e.c.",0.000884432983398437
"29_2004",29,2004,"Other non-ferrous ores n.e.c.",0.00442185827636719
"29_2005",29,2005,"Other non-ferrous ores n.e.c.",0.0838524906266755
"29_2006",29,2006,"Other non-ferrous ores n.e.c.",0.0483831931686102
"29_2007",29,2007,"Other non-ferrous ores n.e.c.",0.123816466180779
"29_2008",29,2008,"Other non-ferrous ores n.e.c.",0.000884403930664062
"29_2009",29,2009,"Other non-ferrous ores n.e.c.",0.0996392432911592
"29_2010",29,2010,"Other non-ferrous ores n.e.c.",0.0902671978386374
"29_2011",29,2011,"Other non-ferrous ores n.e.c.",0.115721744995596
"29_2012",29,2012,"Other non-ferrous ores n.e.c.",0.041126363691502
"29_2013",29,2013,"Other non-ferrous ores n.e.c.",0.0501051724365234
"29_2014",29,2014,"Other non-ferrous ores n.e.c.",0.221243704579552
"29_2015",29,2015,"Other non-ferrous ores n.e.c.",0.0269412314771465
"29_2016",29,2016,"Other non-ferrous ores n.e.c.",0.0393950497460459
"29_2017",29,2017,"Other non-ferrous ores n.e.c.",0.0892218914146274
"29_2018",29,2018,"Other non-ferrous ores n.e.c.",0.0239492186272116
"29_2019",29,2019,"Other non-ferrous ores n.e.c.",0.00708742077493107
"30_2001",30,2001,"Other non-ferrous ores n.e.c.",0.0136507643159754
"30_2002",30,2002,"Other non-ferrous ores n.e.c.",0.113561039633119
"30_2003",30,2003,"Other non-ferrous ores n.e.c.",0.159012915779383
"30_2004",30,2004,"Other non-ferrous ores n.e.c.",0.589950177363377
"30_2005",30,2005,"Other non-ferrous ores n.e.c.",0.358584343178424
"30_2006",30,2006,"Other non-ferrous ores n.e.c.",0.0460476126098633
"30_2007",30,2007,"Other non-ferrous ores n.e.c.",0.358092153055827
"30_2008",30,2008,"Other non-ferrous ores n.e.c.",0.351343855764591
"30_2009",30,2009,"Other non-ferrous ores n.e.c.",2.50453198603899
"30_2010",30,2010,"Other non-ferrous ores n.e.c.",1.02591419301399
"30_2011",30,2011,"Other non-ferrous ores n.e.c.",0.792435728234624
"30_2012",30,2012,"Other non-ferrous ores n.e.c.",1.02434831223575
"30_2013",30,2013,"Other non-ferrous ores n.e.c.",1.17980354661746
"30_2014",30,2014,"Other non-ferrous ores n.e.c.",1.59619063358035
"30_2015",30,2015,"Other non-ferrous ores n.e.c.",2.5178513318187
"30_2016",30,2016,"Other non-ferrous ores n.e.c.",3.49312305206395
"30_2017",30,2017,"Other non-ferrous ores n.e.c.",2.86629192592438
"30_2018",30,2018,"Other non-ferrous ores n.e.c.",2.22746647480564
"30_2019",30,2019,"Other non-ferrous ores n.e.c.",0.971747275553625
"31_2004",31,2004,"Other non-ferrous ores n.e.c.",0.0248997023449468
"31_2009",31,2009,"Other non-ferrous ores n.e.c.",0.000884242126464844
"31_2012",31,2012,"Other non-ferrous ores n.e.c.",0.0141389672648112
"31_2014",31,2014,"Other non-ferrous ores n.e.c.",0.00106457935312309
"31_2015",31,2015,"Other non-ferrous ores n.e.c.",0.0123775162353516
"31_2016",31,2016,"Other non-ferrous ores n.e.c.",0.02017216579901
"31_2017",31,2017,"Other non-ferrous ores n.e.c.",0.0600419998432234
"31_2018",31,2018,"Other non-ferrous ores n.e.c.",0.00542280127695121
"32_2001",32,2001,"Other non-ferrous ores n.e.c.",0.00176914428710937
"32_2002",32,2002,"Other non-ferrous ores n.e.c.",0.000600116887350643
"32_2003",32,2003,"Other non-ferrous ores n.e.c.",0.00884579351806641
"32_2004",32,2004,"Other non-ferrous ores n.e.c.",0.158467892308852
"32_2005",32,2005,"Other non-ferrous ores n.e.c.",0.0883588273887485
"32_2006",32,2006,"Other non-ferrous ores n.e.c.",0.00176915637207031
"32_2007",32,2007,"Other non-ferrous ores n.e.c.",0.192743839060585
"32_2008",32,2008,"Other non-ferrous ores n.e.c.",0.0185777905273437
"32_2009",32,2009,"Other non-ferrous ores n.e.c.",0.216057071784764
"32_2010",32,2010,"Other non-ferrous ores n.e.c.",0.0496870284064798
"32_2011",32,2011,"Other non-ferrous ores n.e.c.",0.0310164346215342
"32_2012",32,2012,"Other non-ferrous ores n.e.c.",0.0298274287808287
"32_2013",32,2013,"Other non-ferrous ores n.e.c.",0.121085146686629
"32_2014",32,2014,"Other non-ferrous ores n.e.c.",0.120827948628265
"32_2015",32,2015,"Other non-ferrous ores n.e.c.",0.13722804480531
"32_2016",32,2016,"Other non-ferrous ores n.e.c.",0.0735281295807483
"32_2017",32,2017,"Other non-ferrous ores n.e.c.",0.175614547611012
"32_2018",32,2018,"Other non-ferrous ores n.e.c.",0.0154023011606254
