"year","commodity","country_isoa3","forest_loss_km2"
2001,"Bauxite","AUS",5.5634400585483
2001,"Bauxite","BRA",3.93014320578231
2001,"Bauxite","CHN",0.0538899402726716
2001,"Bauxite","FRA",0.136912989675724
2001,"Bauxite","GHA",2.89404432850723
2001,"Bauxite","GIN",0.0246651960705327
2001,"Bauxite","GRC",0.0420744840698242
2001,"Bauxite","HUN",0.0508662291393804
2001,"Bauxite","IDN",1.88385681925289
2001,"Bauxite","IND",0.0275668959898705
2001,"Bauxite","JAM",0.0953115574245079
2001,"Bauxite","LAO",0.00032865896283318
2001,"Bauxite","ROU",0.00157572632194968
2001,"Bauxite","RUS",0.136687085841519
2001,"Bauxite","SLE",0.0629866307234896
2001,"Bauxite","TUR",0.00142989074707031
2001,"Bauxite","USA",0.028824366551777
2001,"Bauxite","VEN",0.29589419949664
2001,"Bauxite","XAM",0.664821397978898
2001,"Bauxite","XAS",0.00172158549541399
2001,"Bauxite","XEU",0.00264160986328125
2001,"Coal","AUS",4.92849386996879
2001,"Coal","AUT",0.00181418657609528
2001,"Coal","BEL",0.000573351440429687
2001,"Coal","BGR",0.00563777098915249
2001,"Coal","BRA",0.443596892724609
2001,"Coal","BWA",0.00165488330078125
2001,"Coal","CAN",2.82728902293878
2001,"Coal","CHL",0.000544202941894531
2001,"Coal","CHN",0.580260076181542
2001,"Coal","COL",0.970766939555807
2001,"Coal","CZE",0.0135934095889821
2001,"Coal","DEU",1.13445984913354
2001,"Coal","ESP",0.0368617124965657
2001,"Coal","FRA",0.00117825915527344
2001,"Coal","GBR",0.104871674698175
2001,"Coal","GRC",0.0270035999791763
2001,"Coal","HUN",0.00326135071686389
2001,"Coal","IDN",25.9185031170091
2001,"Coal","IND",0.0708361781235638
2001,"Coal","ITA",0.00238334773742034
2001,"Coal","MEX",0.0757397797559551
2001,"Coal","MMR",0.283565443237544
2001,"Coal","MNG",0.129137482948692
2001,"Coal","MOZ",0.00257981579589843
2001,"Coal","MYS",0.0319200556571212
2001,"Coal","NGA",0.00110192676642923
2001,"Coal","NLD",0.0190086730406518
2001,"Coal","NZL",0.440622923702225
2001,"Coal","PHL",0.0421148684692383
2001,"Coal","POL",0.125848622281996
2001,"Coal","ROU",0.278337879403148
2001,"Coal","RUS",2.84490090907264
2001,"Coal","SRB",0.0167283977050781
2001,"Coal","THA",0.0881204972366633
2001,"Coal","TUR",0.481900483011402
2001,"Coal","TZA",0.00279517544400084
2001,"Coal","UKR",0.0210727914876302
2001,"Coal","USA",21.4369966980826
2001,"Coal","VEN",0.0368690570068359
2001,"Coal","VNM",0.127345606833065
2001,"Coal","ZAF",0.630371818357889
2001,"Coal","ZMB",0.0293455874071308
2001,"Coal","ZWE",0.00509630670166016
2001,"Copper","AUS",0.251700244340664
2001,"Copper","BGR",0.14087527273879
2001,"Copper","BIH",0.022372131768886
2001,"Copper","BOL",0.0226815210555132
2001,"Copper","BRA",6.73841016047035
2001,"Copper","BWA",0.00605932847569209
2001,"Copper","CAN",3.14417982450961
2001,"Copper","CHL",0.0125195715668215
2001,"Copper","CHN",0.259954844872975
2001,"Copper","COD",0.194815182103106
2001,"Copper","COL",0.116920661406531
2001,"Copper","CYP",0.00359179104159485
2001,"Copper","DEU",0.00174892650139054
2001,"Copper","ECU",0.0454411677396598
2001,"Copper","ESP",0.10127791882195
2001,"Copper","FIN",0.0713170401441363
2001,"Copper","GBR",0.00324999225501287
2001,"Copper","GEO",0.00067453415815574
2001,"Copper","IDN",0.852259882840426
2001,"Copper","IRL",0.000375540858713593
2001,"Copper","IRN",0.0680245198364258
2001,"Copper","ITA",0.000498621561289532
2001,"Copper","JPN",0.000925413792439566
2001,"Copper","KGZ",0.000359556037773977
2001,"Copper","KOR",0.00175524155902488
2001,"Copper","LAO",0.026673577640986
2001,"Copper","MEX",0.0150423235483485
2001,"Copper","MKD",0.00067158674449273
2001,"Copper","MMR",0.000829649841308594
2001,"Copper","NAM",0.000852055095119102
2001,"Copper","NIC",0.000326280160642158
2001,"Copper","NOR",0.00392684239356907
2001,"Copper","PAN",0.00297928628988964
2001,"Copper","PER",0.00270924044798744
2001,"Copper","PHL",0.0510639601341999
2001,"Copper","PNG",0.0807465665745504
2001,"Copper","POL",0.0102316677212722
2001,"Copper","PRT",0.00522655433881159
2001,"Copper","ROU",0.000392603947996495
2001,"Copper","RUS",0.110933703211208
2001,"Copper","SLE",0.0461078530159958
2001,"Copper","SRB",0.0152183680036488
2001,"Copper","SWE",0.0152729060889903
2001,"Copper","TUR",0.0107100039879706
2001,"Copper","TZA",2.20857734283019e-05
2001,"Copper","USA",0.140687556746531
2001,"Copper","VEN",0.239852573656301
2001,"Copper","XAM",0.128907991103966
2001,"Copper","ZAF",0.568891890228039
2001,"Copper","ZMB",0.398651111898317
2001,"Copper","ZWE",0.000594723124810957
2001,"Gold","AUS",0.732995788195885
2001,"Gold","AUT",0.00240492660917394
2001,"Gold","BEN",0.000362526101505055
2001,"Gold","BFA",0.0205920783732096
2001,"Gold","BGR",2.64627296052296e-05
2001,"Gold","BIH",0.0107776809972755
2001,"Gold","BOL",0.229257141333696
2001,"Gold","BRA",10.3765768912105
2001,"Gold","BWA",0.0100158980102539
2001,"Gold","CAN",18.5868015808046
2001,"Gold","CHL",0.00383908874023182
2001,"Gold","CHN",1.00987008109791
2001,"Gold","CIV",0.463354502971146
2001,"Gold","COD",0.344714803732479
2001,"Gold","COL",1.0516317830281
2001,"Gold","CYP",0.00208209069047539
2001,"Gold","DEU",0.000842538034121673
2001,"Gold","ECU",0.0232537201501355
2001,"Gold","ESP",0.00333315898243401
2001,"Gold","FIN",0.145702411280773
2001,"Gold","FRA",0.0895392231557809
2001,"Gold","GAB",0.000402957669127221
2001,"Gold","GBR",0.00172263415923276
2001,"Gold","GEO",6.89768174850609e-08
2001,"Gold","GHA",0.474310294515007
2001,"Gold","GIN",0.272953865038584
2001,"Gold","GRC",0.000708948643658239
2001,"Gold","HND",0.0565121060873155
2001,"Gold","HUN",0.00180211206054687
2001,"Gold","IDN",2.73021046827306
2001,"Gold","IRL",0.00052416626582857
2001,"Gold","ITA",0.0206778163975967
2001,"Gold","JPN",0.000445814227648328
2001,"Gold","KAZ",0.0027152341997703
2001,"Gold","KGZ",0.00059187704736939
2001,"Gold","KOR",0.00395795094898619
2001,"Gold","LAO",0.00295241748725897
2001,"Gold","LBR",0.0599018540053424
2001,"Gold","MEX",0.0269835846540114
2001,"Gold","MKD",4.89366596138761e-08
2001,"Gold","MLI",0.110231623838695
2001,"Gold","MMR",3.48275683503537
2001,"Gold","MNG",0.123206271826172
2001,"Gold","MOZ",0.0447279019081265
2001,"Gold","MYS",0.351879190501269
2001,"Gold","NAM",0.000841344482421875
2001,"Gold","NIC",0.0356505783528342
2001,"Gold","NOR",0.000321551951041046
2001,"Gold","NZL",0.0152139691487646
2001,"Gold","PAN",0.0033751342965755
2001,"Gold","PER",7.72454192120746
2001,"Gold","PHL",0.0711984814083886
2001,"Gold","PNG",0.135496733297981
2001,"Gold","POL",0.00130389110470541
2001,"Gold","PRT",0.064133240122766
2001,"Gold","PRY",0.00968406201171875
2001,"Gold","ROU",0.000272765227728128
2001,"Gold","RUS",12.9519881036725
2001,"Gold","SEN",0.0017418759765625
2001,"Gold","SLE",0.070057971891311
2001,"Gold","SLV",0.00309371176919593
2001,"Gold","SRB",0.000807475194779147
2001,"Gold","SVK",0.00480105556956051
2001,"Gold","SWE",0.013246073389814
2001,"Gold","THA",0.0118332985780005
2001,"Gold","TUR",0.0652538693623911
2001,"Gold","TZA",0.230111667848446
2001,"Gold","UGA",0.000718377334413089
2001,"Gold","URY",0.0112116032300762
2001,"Gold","USA",0.633904466013344
2001,"Gold","VEN",0.569518363630001
2001,"Gold","VNM",0.0284639906005859
2001,"Gold","XAF",0.000670099049766391
2001,"Gold","XAM",10.6050030466841
2001,"Gold","XAS",0.00440896423339844
2001,"Gold","ZAF",0.259295886003647
2001,"Gold","ZMB",1.01134891820958e-06
2001,"Gold","ZWE",0.00843498996554866
2001,"Iron Ore","AUS",1.12192385423474
2001,"Iron Ore","AUT",0.010974263312366
2001,"Iron Ore","BGR",0.00264327392578125
2001,"Iron Ore","BRA",1.68608612695708
2001,"Iron Ore","CAN",0.695214700623344
2001,"Iron Ore","CHN",1.09440054060858
2001,"Iron Ore","COG",0.00381240564371745
2001,"Iron Ore","COL",0.0184243231081495
2001,"Iron Ore","DEU",0.00151055408935547
2001,"Iron Ore","ESP",8.01612117991728e-05
2001,"Iron Ore","GIN",0.0252973306926857
2001,"Iron Ore","IDN",2.4177629745354
2001,"Iron Ore","IND",0.118656631995513
2001,"Iron Ore","IRL",0.00279151335149717
2001,"Iron Ore","KAZ",0.00223018566894531
2001,"Iron Ore","LBR",0.00699272174311619
2001,"Iron Ore","MEX",0.0343583482788086
2001,"Iron Ore","MMR",1.48068689548866
2001,"Iron Ore","MYS",0.128466575666839
2001,"Iron Ore","NGA",0.00832496045759612
2001,"Iron Ore","NOR",6.94984306784237e-05
2001,"Iron Ore","NZL",0.222227479413679
2001,"Iron Ore","PER",0.000717081334807899
2001,"Iron Ore","PHL",0.112949246175958
2001,"Iron Ore","PRK",0.000921685366641774
2001,"Iron Ore","RUS",1.15066687963745
2001,"Iron Ore","SLE",0.0470473204607935
2001,"Iron Ore","SWE",0.0438413714631782
2001,"Iron Ore","TUR",0.0186969777522272
2001,"Iron Ore","UKR",0.0245861015350272
2001,"Iron Ore","USA",3.84962339583847
2001,"Iron Ore","VEN",0.0515773971070032
2001,"Iron Ore","VNM",0.00424681524658203
2001,"Iron Ore","ZAF",0.00321965551757813
2001,"Iron Ore","ZMB",0.00173175048828125
2001,"Iron Ore","ZWE",0.000846983093261719
2001,"Lead/Zinc/Silver","AUS",0.105278905935773
2001,"Lead/Zinc/Silver","BGR",2.77928425822904e-05
2001,"Lead/Zinc/Silver","BIH",0.0217110727318854
2001,"Lead/Zinc/Silver","BOL",0.0110850194378717
2001,"Lead/Zinc/Silver","BRA",1.55511211534632
2001,"Lead/Zinc/Silver","BWA",1.21642530951432e-06
2001,"Lead/Zinc/Silver","CAN",1.62259431908912
2001,"Lead/Zinc/Silver","CHL",0.00513217790178831
2001,"Lead/Zinc/Silver","CHN",0.490756430071174
2001,"Lead/Zinc/Silver","CIV",0.000909787437239104
2001,"Lead/Zinc/Silver","COD",0.00469053829657274
2001,"Lead/Zinc/Silver","COL",0.0516959353371237
2001,"Lead/Zinc/Silver","CYP",0.00516198878131594
2001,"Lead/Zinc/Silver","DEU",0.00169724865143249
2001,"Lead/Zinc/Silver","DZA",0.00143854797363281
2001,"Lead/Zinc/Silver","ECU",0.0178474414025319
2001,"Lead/Zinc/Silver","ESP",0.0555233228572727
2001,"Lead/Zinc/Silver","FIN",0.102228105026708
2001,"Lead/Zinc/Silver","FRA",0.014816335934149
2001,"Lead/Zinc/Silver","GBR",0.0022039810806322
2001,"Lead/Zinc/Silver","GEO",2.98606322436713e-08
2001,"Lead/Zinc/Silver","GRC",0.000650701014544881
2001,"Lead/Zinc/Silver","HND",0.00146315971719964
2001,"Lead/Zinc/Silver","IDN",1.6500672236832
2001,"Lead/Zinc/Silver","IRL",0.00300824140810397
2001,"Lead/Zinc/Silver","ITA",0.00171191257651818
2001,"Lead/Zinc/Silver","JPN",0.000898069364256465
2001,"Lead/Zinc/Silver","KAZ",5.71040570656338e-05
2001,"Lead/Zinc/Silver","KGZ",0.00104465218096992
2001,"Lead/Zinc/Silver","KOR",0.0441766089774171
2001,"Lead/Zinc/Silver","LAO",0.00270370883904015
2001,"Lead/Zinc/Silver","MEX",0.051772021377431
2001,"Lead/Zinc/Silver","MLI",4.85488745213392e-05
2001,"Lead/Zinc/Silver","MYS",0.00371519601905662
2001,"Lead/Zinc/Silver","NIC",0.000316639128173072
2001,"Lead/Zinc/Silver","NOR",0.00863321293396866
2001,"Lead/Zinc/Silver","NZL",0.0297550246632281
2001,"Lead/Zinc/Silver","PAN",0.00310928433320781
2001,"Lead/Zinc/Silver","PER",0.0330152580030532
2001,"Lead/Zinc/Silver","PHL",0.0113313022621146
2001,"Lead/Zinc/Silver","PNG",0.0273303335007739
2001,"Lead/Zinc/Silver","POL",0.00145510020856662
2001,"Lead/Zinc/Silver","PRT",0.0475106810969396
2001,"Lead/Zinc/Silver","ROU",0.000742022292278597
2001,"Lead/Zinc/Silver","RUS",1.02595509330735
2001,"Lead/Zinc/Silver","SLE",0.0202172712971302
2001,"Lead/Zinc/Silver","SLV",0.00312563940459389
2001,"Lead/Zinc/Silver","SRB",0.00150897424541967
2001,"Lead/Zinc/Silver","SVK",0.00440659807723024
2001,"Lead/Zinc/Silver","SWE",0.0509097372412439
2001,"Lead/Zinc/Silver","TUR",0.0857355863536092
2001,"Lead/Zinc/Silver","TZA",0.000137372315913392
2001,"Lead/Zinc/Silver","UGA",0.000659355038633781
2001,"Lead/Zinc/Silver","USA",0.647847091182828
2001,"Lead/Zinc/Silver","VEN",0.129543053324002
2001,"Lead/Zinc/Silver","XAM",0.185304076921178
2001,"Lead/Zinc/Silver","ZWE",1.63776744782039e-07
2001,"Nickel","ALB",0.001362669921875
2001,"Nickel","AUS",1.02775785208849
2001,"Nickel","BRA",0.269752852673144
2001,"Nickel","BWA",0.0128134426473478
2001,"Nickel","CAN",0.78860844955249
2001,"Nickel","CHN",0.00614314564676289
2001,"Nickel","COL",0.0908283323883655
2001,"Nickel","CUB",0.275203192178949
2001,"Nickel","CYP",0.00538542172294192
2001,"Nickel","DOM",0.0215269215013691
2001,"Nickel","FIN",0.154086309393205
2001,"Nickel","GIN",0.00229147631582575
2001,"Nickel","GRC",0.0110814758858475
2001,"Nickel","GTM",0.000750636171587776
2001,"Nickel","IDN",0.810454450659609
2001,"Nickel","MMR",0.00820680249023437
2001,"Nickel","NOR",0.00883433542712166
2001,"Nickel","PHL",0.113222939963825
2001,"Nickel","POL",0.000570772705078125
2001,"Nickel","RUS",0.0247725972243365
