"year","commodity","country_isoa3","forest_loss_km2"
2001,"Bauxite","AUS",4.5514790807316
2001,"Bauxite","BRA",3.93014320578231
2001,"Bauxite","CHN",0.0538899402726716
2001,"Bauxite","FRA",0.136912989675724
2001,"Bauxite","GHA",2.89404432850723
2001,"Bauxite","GIN",0.0246651960705327
2001,"Bauxite","GRC",0.0420744840698242
2001,"Bauxite","HUN",0.0508662291393804
2001,"Bauxite","IDN",1.88385681925289
2001,"Bauxite","IND",0.0275668959898705
2001,"Bauxite","JAM",0.0953115574245079
2001,"Bauxite","LAO",0.00032865896283318
2001,"Bauxite","ROU",0.00157572632194968
2001,"Bauxite","RUS",0.136687085841519
2001,"Bauxite","SLE",0.0629866307234896
2001,"Bauxite","TUR",0.00142989074707031
2001,"Bauxite","USA",0.028824366551777
2001,"Bauxite","VEN",0.29589419949664
2001,"Bauxite","XAM",0.664821397978898
2001,"Bauxite","XAS",0.00172158549541399
2001,"Bauxite","XEU",0.00264160986328125
2001,"Coal","AUS",4.92849386996879
2001,"Coal","AUT",0.00181418657609528
2001,"Coal","BEL",0.000573351440429687
2001,"Coal","BGR",0.00563777098915249
2001,"Coal","BRA",0.443596892724609
2001,"Coal","BWA",0.00165488330078125
2001,"Coal","CAN",2.82229271314189
2001,"Coal","CHL",0.000544202941894531
2001,"Coal","CHN",0.580260076181542
2001,"Coal","COL",0.970766939555807
2001,"Coal","CZE",0.0135934095889821
2001,"Coal","DEU",1.13445984913354
2001,"Coal","ESP",0.036842531378798
2001,"Coal","FRA",0.00117825915527344
2001,"Coal","GBR",0.104871674698175
2001,"Coal","GRC",0.0270035999791763
2001,"Coal","HUN",0.00326135071686389
2001,"Coal","IDN",25.9185031170091
2001,"Coal","IND",0.0708361781235638
2001,"Coal","ITA",0.00237424023951796
2001,"Coal","MEX",0.0757397797559551
2001,"Coal","MMR",0.283565443237544
2001,"Coal","MNG",0.129137482948692
2001,"Coal","MOZ",0.00257981579589843
2001,"Coal","MYS",0.0319200556571212
2001,"Coal","NGA",0.00110192676642923
2001,"Coal","NLD",0.0190086730406518
2001,"Coal","NZL",0.440622923702225
2001,"Coal","PHL",0.0421148684692383
2001,"Coal","POL",0.125848622281996
2001,"Coal","ROU",0.278337879403148
2001,"Coal","RUS",2.84490090907264
2001,"Coal","SRB",0.0167283977050781
2001,"Coal","THA",0.0881204972366633
2001,"Coal","TUR",0.481900483011402
2001,"Coal","TZA",0.00279517544400084
2001,"Coal","UKR",0.0210727914876302
2001,"Coal","USA",21.4369966980826
2001,"Coal","VEN",0.0368690570068359
2001,"Coal","VNM",0.127345606833065
2001,"Coal","ZAF",0.630371818357889
2001,"Coal","ZMB",0.0293455874071308
2001,"Coal","ZWE",0.00509630670166016
2001,"Copper","AUS",0.00584998548485834
2001,"Copper","BGR",2.46031391242449e-05
2001,"Copper","BIH",9.57902726436009e-06
2001,"Copper","BOL",7.40757965467341e-06
2001,"Copper","BRA",0.0263880628811383
2001,"Copper","BWA",0.00442303195535474
2001,"Copper","CAN",1.09630292084392
2001,"Copper","CHL",0.00571249528223808
2001,"Copper","CHN",0.160895023180045
2001,"Copper","COD",0.194815182103106
2001,"Copper","COL",3.85025455421883e-05
2001,"Copper","CYP",2.83103912815718e-06
2001,"Copper","DEU",7.4883407684381e-07
2001,"Copper","ECU",1.24645642735624e-05
2001,"Copper","ESP",0.0802948693050163
2001,"Copper","FIN",0.0204266678363579
2001,"Copper","GBR",1.25322721219961e-06
2001,"Copper","GEO",1.17808926981718e-07
2001,"Copper","IDN",0.000153172786689255
2001,"Copper","IRL",1.60794517109973e-07
2001,"Copper","IRN",0.0680245198364258
2001,"Copper","ITA",2.13493715285231e-07
2001,"Copper","JPN",3.96232421664968e-07
2001,"Copper","KGZ",1.18033242980104e-07
2001,"Copper","KOR",7.5153798141045e-07
2001,"Copper","LAO",4.73887063106875e-06
2001,"Copper","MEX",4.95893799166365e-06
2001,"Copper","MKD",1.19090118344137e-07
2001,"Copper","MMR",0.000829649841308594
2001,"Copper","NAM",0.000852055095119102
2001,"Copper","NIC",1.39702670576871e-07
2001,"Copper","NOR",1.90036462724334e-06
2001,"Copper","PAN",5.70969050144097e-07
2001,"Copper","PER",6.50771159247181e-06
2001,"Copper","PHL",0.000888269722297814
2001,"Copper","PNG",1.41036549056834e-05
2001,"Copper","POL",2.24361618727292e-06
2001,"Copper","PRT",0.00372404206773979
2001,"Copper","ROU",2.45738673760754e-07
2001,"Copper","RUS",0.19136418007577
2001,"Copper","SLE",1.5136053484239e-05
2001,"Copper","SRB",0.0135731889282681
2001,"Copper","SWE",0.00627937551044144
2001,"Copper","TUR",0.00253727078253775
2001,"Copper","TZA",8.51647945318359e-09
2001,"Copper","USA",0.157083847361128
2001,"Copper","VEN",0.000149830754179262
2001,"Copper","XAM",4.9708119172375e-05
2001,"Copper","ZAF",0.565085395224585
2001,"Copper","ZMB",0.328353216381215
2001,"Copper","ZWE",2.94603864583514e-07
2001,"Gold","AUS",2.09573237235116
2001,"Gold","AUT",0.00240492660917394
2001,"Gold","BEN",0.000362526101505055
2001,"Gold","BFA",0.0205920783732096
2001,"Gold","BGR",0.138769384540141
2001,"Gold","BIH",0.0540135136602753
2001,"Gold","BOL",0.262373480672192
2001,"Gold","BRA",19.2195269626312
2001,"Gold","BWA",0.0100158980102539
2001,"Gold","CAN",22.1650670479336
2001,"Gold","CHL",0.0155392079752897
2001,"Gold","CHN",1.52525000252054
2001,"Gold","CIV",0.464008760505662
2001,"Gold","COD",0.344714803732479
2001,"Gold","COL",1.21686845227579
2001,"Gold","CYP",0.0159634549940606
2001,"Gold","DEU",0.00422247045786906
2001,"Gold","ECU",0.0854294813943631
2001,"Gold","ESP",0.0050717182211787
2001,"Gold","FIN",0.280496168989842
2001,"Gold","FRA",0.0895392231557809
2001,"Gold","GAB",0.000402957669127221
2001,"Gold","GBR",0.00706660533240419
2001,"Gold","GEO",0.000664292303510264
2001,"Gold","GHA",0.474310294515007
2001,"Gold","GIN",0.272953865038584
2001,"Gold","GRC",0.00133904294707187
2001,"Gold","HND",0.0579350493187912
2001,"Gold","HUN",0.00180211206054687
2001,"Gold","IDN",7.1219784859688
2001,"Gold","IRL",0.00124992731056019
2001,"Gold","ITA",0.021641440186728
2001,"Gold","JPN",0.00223424620575756
2001,"Gold","KAZ",0.00274790889232859
2001,"Gold","KGZ",0.00196556078831028
2001,"Gold","KOR",0.0491323436153477
2001,"Gold","LAO",0.0318363603322837
2001,"Gold","LBR",0.0599018540053424
2001,"Gold","MEX",0.0924876386320369
2001,"Gold","MKD",0.000671516591034
2001,"Gold","MLI",0.110240526973572
2001,"Gold","MMR",3.48275683503537
2001,"Gold","MNG",0.123206271826172
2001,"Gold","MOZ",0.0447279019081265
2001,"Gold","MYS",0.355499247251593
2001,"Gold","NAM",0.000841344482421875
2001,"Gold","NIC",0.03628113938173
2001,"Gold","NOR",0.0107156361413665
2001,"Gold","NZL",0.0443192770558367
2001,"Gold","PAN",0.00931971166052013
2001,"Gold","PER",7.76040832203723
2001,"Gold","PHL",0.242536935446008
2001,"Gold","PNG",0.240173316923402
2001,"Gold","POL",0.0126511377653727
2001,"Gold","PRT",0.107461052329103
2001,"Gold","PRY",0.00968406201171875
2001,"Gold","ROU",0.00138565314052492
2001,"Gold","RUS",13.8338113319788
2001,"Gold","SEN",0.0017418759765625
2001,"Gold","SLE",0.137632059048998
2001,"Gold","SLV",0.00612500026126343
2001,"Gold","SRB",0.00390119770029271
2001,"Gold","SVK",0.00906810339003801
2001,"Gold","SWE",0.0963080149859121
2001,"Gold","THA",0.0118332985780005
2001,"Gold","TUR",0.134707817956333
2001,"Gold","TZA",0.229606691758344
2001,"Gold","UGA",0.00135685160213926
2001,"Gold","URY",0.0112116032300762
2001,"Gold","USA",0.850509370143424
2001,"Gold","VEN",1.27516003157702
2001,"Gold","VNM",0.0284639906005859
2001,"Gold","XAF",0.000670099049766391
2001,"Gold","XAM",11.1029410320432
2001,"Gold","XAS",0.00440896423339844
2001,"Gold","ZAF",0.259295886003647
2001,"Gold","ZMB",0.0702989068660204
2001,"Gold","ZWE",0.0100961767257433
2001,"Iron Ore","AUS",1.12192385423474
2001,"Iron Ore","AUT",0.010974263312366
2001,"Iron Ore","BGR",0.00264327392578125
2001,"Iron Ore","BRA",0.972854284865912
2001,"Iron Ore","CAN",0.691604206263486
2001,"Iron Ore","CHN",0.938355502369169
2001,"Iron Ore","COG",0.00381240564371745
2001,"Iron Ore","COL",0.0184243231081495
2001,"Iron Ore","DEU",0.00151055408935547
