hcluster_id,country_name,country_isoa3,commodities_list,snl_id
00000000000000000001,Aruba,ABW,Gold,27133
00000000000000000002,Islamic Republic of Afghanistan,AFG,Copper,28954;62638;62625;62627;62620;62636;62622;62618;62632
00000000000000000003,Islamic Republic of Afghanistan,AFG,Gold,41610;39558
00000000000000000004,Islamic Republic of Afghanistan,AFG,Copper,64385
00000000000000000005,Islamic Republic of Afghanistan,AFG,Copper;Zinc;Lead;Silver,62331
00000000000000000006,Islamic Republic of Afghanistan,AFG,Copper,62335
00000000000000000007,Islamic Republic of Afghanistan,AFG,Iron Ore,36701
00000000000000000008,Islamic Republic of Afghanistan,AFG,Lanthanides;Phosphate,64387
00000000000000000009,Islamic Republic of Afghanistan,AFG,Iron Ore,59179
00000000000000000010,Islamic Republic of Afghanistan,AFG,Copper;Gold;Molybdenum,62327
00000000000000000011,Islamic Republic of Afghanistan,AFG,Lithium,64386
00000000000000000012,Islamic Republic of Afghanistan,AFG,Copper;Gold;Molybdenum,62333
00000000000000000013,Islamic Republic of Afghanistan,AFG,Gold,38438
00000000000000000014,Islamic Republic of Afghanistan,AFG,Coal,39688
00000000000000000015,Islamic Republic of Afghanistan,AFG,Copper;Zinc,39786
00000000000000000016,Islamic Republic of Afghanistan,AFG,Lithium;Tantalum;Tin,40538
00000000000000000017,Islamic Republic of Afghanistan,AFG,Copper;Gold,39784
00000000000000000019,Angola,AGO,Diamonds,32668
00000000000000000020,Angola,AGO,Diamonds,32520
00000000000000000021,Angola,AGO,Copper,59847
00000000000000000022,Angola,AGO,Copper,58433
00000000000000000023,Angola,AGO,Copper,58434
00000000000000000024,Angola,AGO,Copper,58435
00000000000000000025,Angola,AGO,Phosphate,38118
00000000000000000026,Angola,AGO,Copper,57951
00000000000000000027,Angola,AGO,Copper;Cobalt,34974;31020
00000000000000000028,Angola,AGO,Diamonds,34323
00000000000000000029,Angola,AGO,Diamonds,59846;31220;31108;53319
00000000000000000030,Angola,AGO,Diamonds,32653;70432
00000000000000000031,Angola,AGO,Diamonds,34269
00000000000000000032,Angola,AGO,Diamonds,53344;31644;76160
00000000000000000033,Angola,AGO,Diamonds,34328
00000000000000000034,Angola,AGO,Diamonds,70431;32657;41863;70435
00000000000000000035,Angola,AGO,Diamonds,36742
00000000000000000036,Angola,AGO,Diamonds,34851;70434;32654
00000000000000000037,Angola,AGO,Iron Ore,28542
00000000000000000038,Angola,AGO,Iron Ore,59112
00000000000000000039,Angola,AGO,Diamonds,31539;35506;32869
00000000000000000040,Angola,AGO,Diamonds,57700
00000000000000000041,Angola,AGO,Gold,57952
00000000000000000042,Angola,AGO,Iron Ore;Vanadium;Titanium,59780
00000000000000000043,Angola,AGO,Diamonds,33326
00000000000000000044,Angola,AGO,Diamonds,31218
00000000000000000045,Angola,AGO,Diamonds,33558
00000000000000000046,Angola,AGO,Diamonds,36805
00000000000000000047,Angola,AGO,Potash,41481
00000000000000000048,Angola,AGO,Diamonds,54545
00000000000000000049,Angola,AGO,Diamonds,31420
00000000000000000050,Angola,AGO,Iron Ore,41381
00000000000000000051,Angola,AGO,Diamonds,33734
00000000000000000052,Angola,AGO,Diamonds,31398
00000000000000000053,Angola,AGO,Diamonds,36135
00000000000000000054,Angola,AGO,Diamonds,33955
00000000000000000055,Angola,AGO,Phosphate,59781
00000000000000000056,Angola,AGO,Vanadium;Lead,59785
00000000000000000057,Angola,AGO,Diamonds,35681
00000000000000000058,Angola,AGO,Diamonds,34852
00000000000000000059,Angola,AGO,Diamonds,70436
00000000000000000060,Angola,AGO,Diamonds,36743
00000000000000000061,Angola,AGO,Diamonds,49880
00000000000000000062,Angola,AGO,Copper,57928
00000000000000000063,Angola,AGO,Iron Ore;Titanium;Vanadium,59783
00000000000000000064,Angola,AGO,Gold,59786
00000000000000000065,Angola,AGO,Diamonds,59784
00000000000000000066,Angola,AGO,Diamonds,55642
00000000000000000067,Angola,AGO,Diamonds,57701
00000000000000000068,Angola,AGO,Copper;Gold;Rhodium;Lanthanides;Iron Ore;Neodymium;Praseodymium,50939
00000000000000000069,Angola,AGO,Diamonds,53320
00000000000000000070,Angola,AGO,Diamonds,55615
00000000000000000071,Angola,AGO,Diamonds,53923
