fid,country_name,country_isoa3,hcluster_id
1,United Kingdom,GBR,00000000000000009726
2,Fiji,FJI,00000000000000009599
3,New Zealand,NZL,00000000000000013069
4,Fiji,FJI,00000000000000009599
5,Fiji,FJI,00000000000000009599
6,Fiji,FJI,00000000000000009599
7,Fiji,FJI,00000000000000009599
8,Fiji,FJI,00000000000000009599
9,Fiji,FJI,00000000000000009599
10,New Zealand,NZL,00000000000000013069
11,New Zealand,NZL,00000000000000013069
12,New Zealand,NZL,00000000000000013069
13,New Zealand,NZL,00000000000000013069
14,New Zealand,NZL,00000000000000013069
15,New Zealand,NZL,00000000000000013069
16,New Zealand,NZL,00000000000000013076
17,New Zealand,NZL,00000000000000013076
18,New Zealand,NZL,00000000000000013076
19,New Zealand,NZL,00000000000000013076
20,New Zealand,NZL,00000000000000013076
21,New Zealand,NZL,00000000000000013076
22,New Zealand,NZL,00000000000000013076
23,New Zealand,NZL,00000000000000013076
24,New Zealand,NZL,00000000000000013076
25,New Zealand,NZL,00000000000000013076
26,New Zealand,NZL,00000000000000013076
27,New Zealand,NZL,00000000000000013076
28,New Zealand,NZL,00000000000000013076
29,New Zealand,NZL,00000000000000013076
30,New Zealand,NZL,00000000000000013076
31,New Zealand,NZL,00000000000000013083
32,New Zealand,NZL,00000000000000013063
33,New Zealand,NZL,00000000000000013063
34,New Zealand,NZL,00000000000000013063
35,New Zealand,NZL,00000000000000013063
36,New Zealand,NZL,00000000000000013063
37,New Zealand,NZL,00000000000000013064
38,New Zealand,NZL,00000000000000013064
39,New Zealand,NZL,00000000000000013064
40,New Zealand,NZL,00000000000000013063
41,New Zealand,NZL,00000000000000013063
42,New Zealand,NZL,00000000000000013063
43,New Zealand,NZL,00000000000000013063
44,New Zealand,NZL,00000000000000013063
45,New Zealand,NZL,00000000000000013064
46,New Zealand,NZL,00000000000000013064
47,New Zealand,NZL,00000000000000013064
48,New Zealand,NZL,00000000000000013064
49,New Zealand,NZL,00000000000000013059
50,New Zealand,NZL,00000000000000013059
51,New Zealand,NZL,00000000000000013059
52,New Zealand,NZL,00000000000000013059
53,New Zealand,NZL,00000000000000013059
54,New Zealand,NZL,00000000000000013059
55,New Zealand,NZL,00000000000000013059
56,New Zealand,NZL,00000000000000013059
57,New Zealand,NZL,00000000000000013107
58,New Zealand,NZL,00000000000000013107
59,New Zealand,NZL,00000000000000013059
60,New Zealand,NZL,00000000000000013059
61,New Zealand,NZL,00000000000000013059
62,New Zealand,NZL,00000000000000013059
63,New Zealand,NZL,00000000000000013059
64,New Zealand,NZL,00000000000000013059
65,New Zealand,NZL,00000000000000013059
66,New Zealand,NZL,00000000000000013059
67,New Zealand,NZL,00000000000000013059
68,New Zealand,NZL,00000000000000013059
69,New Zealand,NZL,00000000000000013059
70,New Zealand,NZL,00000000000000013059
71,New Zealand,NZL,00000000000000013059
72,New Zealand,NZL,00000000000000013065
73,New Zealand,NZL,00000000000000013065
74,New Zealand,NZL,00000000000000013093
75,New Zealand,NZL,00000000000000013093
76,New Zealand,NZL,00000000000000013093
77,New Zealand,NZL,00000000000000013093
78,New Zealand,NZL,00000000000000013093
79,New Zealand,NZL,00000000000000013093
80,New Zealand,NZL,00000000000000013093
81,New Zealand,NZL,00000000000000013070
82,New Zealand,NZL,00000000000000013082
83,New Zealand,NZL,00000000000000013082
