snl_id,hcluster_id,commodities_list,country_name,country_isoa3
64665,00000000000000003395,Coal,Brazil,BRA
79522,00000000000000011488,"Gold,Copper,Molybdenum",Mexico,MEX
68289,00000000000000015709,Coal,Ukraine,UKR
63154,00000000000000012539,Coal,Mozambique,MOZ
32960,00000000000000003396,Diamonds,Brazil,BRA
66178,00000000000000000429,Coal,Australia,AUS
65525,00000000000000004051,"Gold,Diamonds",Canada,CAN
29968,00000000000000000430,Gold,Australia,AUS
63665,00000000000000000430,Gold,Australia,AUS
65760,00000000000000004052,"Gold,Silver",Canada,CAN
67655,00000000000000012293,Coal,Mongolia,MNG
29336,00000000000000004053,"Nickel,Copper,Cobalt",Canada,CAN
35020,00000000000000012719,Diamonds,Namibia,NAM
52308,00000000000000004054,"Gold,Silver,Copper,Zinc",Canada,CAN
69163,00000000000000015709,Coal,Ukraine,UKR
68077,00000000000000017839,Gold,Zambia,ZMB
68074,00000000000000017840,Gold,Zambia,ZMB
68075,00000000000000017841,Gold,Zambia,ZMB
68076,00000000000000017840,Gold,Zambia,ZMB
66349,00000000000000012610,"Gold,Copper,Lead,Zinc,Barite",Mauritania,MRT
69188,00000000000000015709,Coal,Ukraine,UKR
69965,00000000000000015709,Coal,Ukraine,UKR
32823,00000000000000003397,Diamonds,Brazil,BRA
54791,00000000000000017570,"Platinum,Palladium,Rhodium",South Africa,ZAF
54049,00000000000000004055,"Gold,Silver",Canada,CAN
63065,00000000000000012611,Gold,Mauritania,MRT
63063,00000000000000012612,U3O8,Mauritania,MRT
81570,00000000000000008793,"Copper,Cobalt,Silver",Democratic Republic of The Congo,COD
74796,00000000000000015792,"Copper,Silver,Gold,Zinc,Molybdenum,Tungsten",United States,USA
38098,00000000000000004056,Gold,Canada,CAN
58124,00000000000000004057,Coal,Canada,CAN
65746,00000000000000004058,Graphite,Canada,CAN
32550,00000000000000004059,"Diamonds,Gold,Silver,Copper,Bismuth",Canada,CAN
39777,00000000000000015793,U3O8,United States,USA
32825,00000000000000003396,Diamonds,Brazil,BRA
64306,00000000000000004060,U3O8,Canada,CAN
30350,00000000000000004061,"Gold,Silver",Canada,CAN
34620,00000000000000015794,"Zinc,Lead,Silver,Copper",United States,USA
64963,00000000000000004062,Gold,Canada,CAN
50944,00000000000000012540,Coal,Mozambique,MOZ
25295,00000000000000015795,Gold,United States,USA
60420,00000000000000004063,Gold,Canada,CAN
34073,00000000000000010832,"Copper,Silver,Zinc",Kazakhstan,KAZ
69010,00000000000000015709,Coal,Ukraine,UKR
69071,00000000000000015710,Coal,Ukraine,UKR
27791,00000000000000015796,Copper,United States,USA
28944,00000000000000003398,Gold,Brazil,BRA
69140,00000000000000015709,Coal,Ukraine,UKR
76312,00000000000000012541,Graphite,Mozambique,MOZ
59744,00000000000000000431,"Silver,Lead,Zinc,Gold,U3O8,Copper,Manganese",Australia,AUS
31724,00000000000000007147,Diamonds,China,CHN
31725,00000000000000007148,Diamonds,China,CHN
49948,00000000000000000432,"Copper,Gold,Silver",Australia,AUS
66217,00000000000000013972,Coal,Russian Federation,RUS
58928,00000000000000000092,Gold,Argentina,ARG
57785,00000000000000004060,Gold,Canada,CAN
